project,street,type,district,segment,tenure,commence,sale,price,area,level,date
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1334888,516.67,16 to 20,Jan-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,3056486,1140.98,26 to 30,Jan-23
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2469060,904.18,11 to 15,Jan-23
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,freehold,,New Sale,2068000,667.37,21 to 25,Jan-23
THE GAZANIA,HOW SUN DRIVE,Condominium,19,OCR,freehold,,New Sale,1507000,635.08,01 to 05,Jan-23
KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 years,2004.0,Resale,1630000,1227.1,01 to 05,Jan-23
URBAN TREASURES,JALAN EUNOS,Condominium,14,OCR,freehold,,New Sale,1811700,882.65,06 to 10,Jan-23
THE ACACIAS,SOMMERVILLE ROAD,Apartment,13,OCR,freehold,,Resale,1610000,1248.62,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1850000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1551000,764.24,06 to 10,Jan-23
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,860000,581.26,06 to 10,Jan-23
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,freehold,,Resale,2260000,818.06,01 to 05,Jan-23
THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,freehold,,Resale,2050000,1216.33,16 to 20,Jan-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,1999.0,Resale,3128888,2583.36,06 to 10,Jan-23
THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,freehold,,Resale,2749000,1367.03,01 to 05,Jan-23
THE LILIUM,HOW SUN ROAD,Condominium,19,OCR,freehold,,New Sale,1564300,699.66,01 to 05,Jan-23
PEAK RESIDENCE,THOMSON ROAD,Condominium,11,CCR,freehold,,New Sale,2850000,1087.16,01 to 05,Jan-23
SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 years,1996.0,Resale,1420000,1140.98,01 to 05,Jan-23
LAGUNA PARK,MARINE PARADE ROAD,Apartment,15,OCR,99 years,1977.0,Resale,1650000,1453.14,01 to 05,Jan-23
WATER PLACE,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1998.0,Resale,1970000,1227.1,01 to 05,Jan-23
CASA PASIR RIS,JALAN LOYANG BESAR,Condominium,17,OCR,other,1938.0,Resale,1935000,2421.9,01 to 05,Jan-23
THE HYDE,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,2388888,818.06,01 to 05,Jan-23
THE CENTREPOINT,ORCHARD ROAD,Apartment,9,CCR,99 years,1979.0,Resale,2100000,742.72,01 to 05,Jan-23
8@WOODLEIGH,WOODLEIGH CLOSE,Condominium,13,RCR,99 years,2008.0,Resale,1405000,839.59,06 to 10,Jan-23
CASA MERAH,TANAH MERAH KECHIL AVENUE,Apartment,16,OCR,99 years,2006.0,Resale,1235000,947.23,01 to 05,Jan-23
THE VERVE,JALAN RAJAH,Apartment,12,RCR,freehold,,Resale,825000,602.78,06 to 10,Jan-23
CAPE ROYALE,COVE WAY,Condominium,4,CCR,99 years,2008.0,Resale,5623000,2529.54,16 to 20,Jan-23
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,3,RCR,freehold,,Resale,1950000,1173.28,01 to 05,Jan-23
SIGNATURE PARK,TOH TUCK ROAD,Condominium,21,RCR,freehold,,Resale,2230000,1410.08,01 to 05,Jan-23
THE PETALS,HILLVIEW AVENUE,Condominium,23,OCR,freehold,,Resale,1450000,1194.8,01 to 05,Jan-23
BINJAI PARK,BINJAI PARK,Apartment,21,RCR,other,1875.0,Resale,1588000,1001.05,01 to 05,Jan-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 years,2002.0,Resale,2111000,882.65,46 to 50,Jan-23
JERVOIS PRIVE,JERVOIS ROAD,Apartment,10,CCR,freehold,,New Sale,1539000,548.96,01 to 05,Jan-23
NINE RESIDENCES,YISHUN AVENUE 9,Apartment,27,OCR,99 years,2013.0,Resale,720000,570.49,01 to 05,Jan-23
THE GREENWICH,SELETAR ROAD,Condominium,28,OCR,99 years,2009.0,Resale,1038000,882.65,01 to 05,Jan-23
BALLOTA PARK CONDOMINIUM,MARIAM WAY,Condominium,17,OCR,freehold,,Resale,1680000,1700.71,06 to 10,Jan-23
BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 years,1991.0,Resale,1880000,1550.02,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1552000,764.24,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1324000,678.13,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1337000,678.13,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1347000,678.13,06 to 10,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,2038000,710.42,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2085000,1044.11,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1350000,678.13,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2276540,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1373000,678.13,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1575000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1546000,753.48,06 to 10,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,1862000,678.13,01 to 05,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,1873000,678.13,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2405000,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1016000,462.85,06 to 10,Jan-23
THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years,2012.0,Resale,1230000,710.42,11 to 15,Jan-23
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 years,2018.0,New Sale,3848000,1216.33,31 to 35,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,1762000,645.84,01 to 05,Jan-23
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,2992000,1711.48,01 to 05,Jan-23
RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 years,2012.0,Resale,1228000,1076.4,01 to 05,Jan-23
KLIMT CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,New Sale,7780000,2055.92,31 to 35,Jan-23
COSTA DEL SOL,BAYSHORE ROAD,Condominium,16,OCR,99 years,1997.0,Resale,2450000,1474.67,06 to 10,Jan-23
8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,freehold,,Resale,1600000,775.01,11 to 15,Jan-23
REGENT GROVE,CHOA CHU KANG NORTH 7,Condominium,23,OCR,99 years,1997.0,Resale,928000,925.7,11 to 15,Jan-23
TURQUOISE,COVE DRIVE,Condominium,4,CCR,99 years,2007.0,Resale,4609400,2680.24,01 to 05,Jan-23
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,1180000,1119.46,01 to 05,Jan-23
DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 years,1993.0,Resale,1260000,936.47,01 to 05,Jan-23
UBER 388,UPPER EAST COAST ROAD,Condominium,16,OCR,freehold,,Resale,1290000,850.36,01 to 05,Jan-23
MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 years,2013.0,Resale,945000,645.84,06 to 10,Jan-23
CENTRAL VIEW,HOUGANG STREET 11,Condominium,19,OCR,99 years,1998.0,Resale,1288000,1216.33,11 to 15,Jan-23
CRAIG PLACE,CRAIG ROAD,Apartment,2,RCR,99 years,1997.0,Resale,1250000,656.6,11 to 15,Jan-23
KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 years,2004.0,Resale,1750000,1313.21,16 to 20,Jan-23
SUITES 123,RANGOON ROAD,Apartment,8,RCR,freehold,,Resale,1070000,850.36,01 to 05,Jan-23
ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years,2012.0,Resale,1038888,699.66,11 to 15,Jan-23
ROSEWOOD SUITES,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2008.0,Resale,980000,1097.93,01 to 05,Jan-23
IDYLLIC EAST,UPPER EAST COAST ROAD,Apartment,16,OCR,freehold,,Resale,2400000,1905.23,01 to 05,Jan-23
PANDAN VALLEY,PANDAN VALLEY,Condominium,21,RCR,freehold,,Resale,3069000,2088.22,11 to 15,Jan-23
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,1230000,785.77,16 to 20,Jan-23
PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 years,2015.0,Resale,950000,602.78,21 to 25,Jan-23
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 years,2013.0,Resale,913988,688.9,16 to 20,Jan-23
IRWELL HILL RESIDENCES,IRWELL HILL,Apartment,9,CCR,99 years,2020.0,New Sale,1479000,495.14,31 to 35,Jan-23
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years,2015.0,Resale,1208000,699.66,11 to 15,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,3110000,1044.11,01 to 05,Jan-23
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years,2013.0,Resale,1520000,1227.1,01 to 05,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,2411000,818.06,06 to 10,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,2419000,818.06,11 to 15,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,2410120,785.77,11 to 15,Jan-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,2280000,1280.92,06 to 10,Jan-23
PEAK RESIDENCE,THOMSON ROAD,Condominium,11,CCR,freehold,,New Sale,1907531,807.3,01 to 05,Jan-23
FORETT AT BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,New Sale,1743000,904.18,01 to 05,Jan-23
THE WARREN,CHOA CHU KANG LOOP,Condominium,23,OCR,99 years,2001.0,Resale,1050000,1044.11,01 to 05,Jan-23
LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years,2012.0,Resale,1240000,893.41,01 to 05,Jan-23
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,3002000,1711.48,01 to 05,Jan-23
THE INFLORA,FLORA DRIVE,Condominium,17,OCR,99 years,2012.0,Resale,640000,462.85,01 to 05,Jan-23
KLIMT CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,New Sale,5500000,1431.61,26 to 30,Jan-23
KLIMT CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,New Sale,9800000,2368.08,26 to 30,Jan-23
WATERFRONT KEY,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2007.0,Resale,1590000,1162.51,01 to 05,Jan-23
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1200000,516.67,16 to 20,Jan-23
THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,other,2009.0,Resale,2610000,1377.79,11 to 15,Jan-23
THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,freehold,,Resale,2490000,1722.24,01 to 05,Jan-23
THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,Condominium,9,CCR,freehold,,Resale,2900000,1237.86,01 to 05,Jan-23
H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 years,2010.0,Resale,940000,753.48,06 to 10,Jan-23
MODA,EAST COAST ROAD,Apartment,15,RCR,freehold,,Resale,1400000,645.84,11 to 15,Jan-23
HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years,2013.0,Resale,760000,462.85,11 to 15,Jan-23
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,980000,667.37,06 to 10,Jan-23
VIDA,PECK HAY ROAD,Apartment,9,CCR,freehold,,Resale,1070000,527.44,11 to 15,Jan-23
SEAHILL,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2011.0,Resale,705000,505.91,01 to 05,Jan-23
ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2011.0,Resale,1900000,1539.25,01 to 05,Jan-23
LEONIE SUITES,LEONIE HILL,Apartment,9,CCR,99 years,2002.0,Resale,1800000,925.7,26 to 30,Jan-23
CITY GATE,BEACH ROAD,Apartment,7,RCR,99 years,2014.0,Resale,1750000,904.18,16 to 20,Jan-23
OXLEY RESIDENCE,OXLEY ROAD,Condominium,9,CCR,freehold,,Resale,5900000,2540.3,01 to 05,Jan-23
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,1300000,818.06,21 to 25,Jan-23
THE GREENWICH,SELETAR ROAD,Condominium,28,OCR,99 years,2009.0,Resale,720000,602.78,01 to 05,Jan-23
SIMS EDGE,GEYLANG EAST AVENUE 2,Apartment,14,RCR,freehold,,Resale,888888,581.26,06 to 10,Jan-23
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,Condominium,23,OCR,99 years,2000.0,Resale,950000,904.18,06 to 10,Jan-23
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 years,2018.0,New Sale,1743000,559.73,31 to 35,Jan-23
CAVENDISH PARK,PINE GROVE,Condominium,21,RCR,99 years,1991.0,Resale,1636000,1227.1,01 to 05,Jan-23
CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1025000,1022.58,01 to 05,Jan-23
RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2001.0,Resale,1400000,1248.62,11 to 15,Jan-23
WATER PLACE,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1998.0,Resale,1935888,1216.33,11 to 15,Jan-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,1420000,688.9,26 to 30,Jan-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,1480000,688.9,41 to 45,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,2615000,947.23,01 to 05,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,1772000,645.84,06 to 10,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,4529000,1496.2,01 to 05,Jan-23
THE LAURELS,CAIRNHILL ROAD,Condominium,9,CCR,freehold,,Resale,3700000,1313.21,01 to 05,Jan-23
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 years,2018.0,New Sale,7028000,2088.22,21 to 25,Jan-23
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,3012000,1711.48,01 to 05,Jan-23
KLIMT CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,New Sale,9750000,2368.08,31 to 35,Jan-23
FONTAINE PARRY,POH HUAT ROAD,Condominium,19,OCR,other,1877.0,Resale,1200000,914.94,01 to 05,Jan-23
VA RESIDENCES,BOON TECK ROAD,Apartment,12,RCR,freehold,,Resale,750000,505.91,01 to 05,Jan-23
BAYWIND RESIDENCES,LORONG N TELOK KURAU,Apartment,15,OCR,freehold,,New Sale,2217000,1065.64,01 to 05,Jan-23
ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,3880000,1410.08,06 to 10,Jan-23
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,1685000,1237.86,26 to 30,Jan-23
PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 years,2011.0,Resale,916888,785.77,01 to 05,Jan-23
ROSEWOOD SUITES,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2008.0,Resale,1200000,1237.86,01 to 05,Jan-23
THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 years,2006.0,Resale,1280000,936.47,11 to 15,Jan-23
THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years,2013.0,Resale,1500000,1022.58,06 to 10,Jan-23
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,725000,548.96,01 to 05,Jan-23
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,freehold,,Resale,2186000,775.01,01 to 05,Jan-23
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1060000,893.41,01 to 05,Jan-23
ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 years,2008.0,Resale,2610000,1474.67,26 to 30,Jan-23
FLAMINGO VALLEY,SIGLAP ROAD,Condominium,15,OCR,freehold,,Resale,1350000,818.06,01 to 05,Jan-23
FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 years,2011.0,Resale,1566000,1345.5,06 to 10,Jan-23
ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 years,2019.0,New Sale,2002000,807.3,11 to 15,Jan-23
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 years,2018.0,New Sale,1728000,559.73,31 to 35,Jan-23
LIV @ MB,ARTHUR ROAD,Condominium,15,RCR,99 years,2021.0,New Sale,4157000,1668.42,11 to 15,Jan-23
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,990000,731.95,01 to 05,Jan-23
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,freehold,,New Sale,3862000,1280.92,16 to 20,Jan-23
THE GAZANIA,HOW SUN DRIVE,Condominium,19,OCR,freehold,,New Sale,1492000,635.08,01 to 05,Jan-23
THE ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 years,1979.0,Resale,4500000,3810.46,01 to 05,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,2038000,710.42,06 to 10,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,2514250,796.54,16 to 20,Jan-23
SOUTHAVEN II,HINDHEDE WALK,Condominium,21,OCR,other,1877.0,Resale,2150000,1442.38,01 to 05,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,4451000,1356.26,06 to 10,Jan-23
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,750000,441.32,11 to 15,Jan-23
THE PATERSON,PATERSON ROAD,Condominium,9,CCR,freehold,,Resale,3500000,1420.85,01 to 05,Jan-23
BLISS@KOVAN,SIMON LANE,Condominium,19,OCR,freehold,,Resale,1460000,914.94,01 to 05,Jan-23
KLIMT CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,New Sale,9950000,2368.08,31 to 35,Jan-23
D'PAVILION,UPPER SERANGOON ROAD,Apartment,19,OCR,freehold,,Resale,2470000,1926.76,01 to 05,Jan-23
HYLL ON HOLLAND,HOLLAND ROAD,Condominium,10,CCR,freehold,,New Sale,2601819,936.47,06 to 10,Jan-23
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2016.0,Resale,1230000,656.6,36 to 40,Jan-23
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years,2013.0,Resale,1218000,947.23,01 to 05,Jan-23
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,Condominium,23,OCR,99 years,1995.0,Resale,1050000,1022.58,06 to 10,Jan-23
WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 years,2011.0,Resale,1228000,807.3,06 to 10,Jan-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,4500000,2464.96,21 to 25,Jan-23
CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2001.0,Resale,935000,925.7,16 to 20,Jan-23
TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 years,1994.0,Resale,1380000,850.36,01 to 05,Jan-23
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 years,2004.0,Resale,1190000,678.13,06 to 10,Jan-23
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,740000,559.73,01 to 05,Jan-23
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,1185000,882.65,06 to 10,Jan-23
8 BASSEIN,BASSEIN ROAD,Apartment,11,CCR,freehold,,Resale,880000,452.09,11 to 15,Jan-23
SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 years,2011.0,Resale,930000,721.19,01 to 05,Jan-23
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,1480000,936.47,16 to 20,Jan-23
SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years,2014.0,Resale,1150000,667.37,16 to 20,Jan-23
EIS RESIDENCES,HAIG AVENUE,Apartment,15,RCR,freehold,,Resale,900000,914.94,01 to 05,Jan-23
KALLANG RIVERSIDE,KAMPONG BUGIS,Apartment,12,RCR,freehold,,Resale,2560000,1033.34,26 to 30,Jan-23
STRAITS RESIDENCES,JOO CHIAT PLACE,Apartment,15,RCR,freehold,,Resale,820000,505.91,01 to 05,Jan-23
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years,2013.0,Resale,1620000,1119.46,16 to 20,Jan-23
NOTTINGHILL SUITES,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Resale,670888,398.27,01 to 05,Jan-23
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 years,2018.0,New Sale,2984640,1097.93,16 to 20,Jan-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1887888,678.13,16 to 20,Jan-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1409800,495.14,26 to 30,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,2038000,710.42,06 to 10,Jan-23
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 years,2019.0,New Sale,4304520,1819.12,06 to 10,Jan-23
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,3092000,1711.48,11 to 15,Jan-23
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 years,2019.0,New Sale,4019400,1603.84,16 to 20,Jan-23
1953,TESSENSOHN ROAD,Apartment,8,RCR,freehold,,New Sale,2468000,1227.1,06 to 10,Jan-23
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 years,2018.0,New Sale,2308000,828.83,21 to 25,Jan-23
SLOANE RESIDENCES,BALMORAL ROAD,Apartment,10,CCR,freehold,,New Sale,1929769,742.72,01 to 05,Jan-23
SLOANE RESIDENCES,BALMORAL ROAD,Apartment,10,CCR,freehold,,New Sale,1974849,742.72,01 to 05,Jan-23
SLOANE RESIDENCES,BALMORAL ROAD,Apartment,10,CCR,freehold,,New Sale,3154271,1248.62,01 to 05,Jan-23
SLOANE RESIDENCES,BALMORAL ROAD,Apartment,10,CCR,freehold,,New Sale,3227871,1248.62,01 to 05,Jan-23
IRWELL HILL RESIDENCES,IRWELL HILL,Apartment,9,CCR,99 years,2020.0,New Sale,1231000,398.27,31 to 35,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,1882000,678.13,06 to 10,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,4882000,1496.2,01 to 05,Jan-23
KLIMT CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,New Sale,7720240,2055.92,31 to 35,Jan-23
SKY EDEN@BEDOK,BEDOK CENTRAL,Apartment,16,OCR,99 years,2022.0,New Sale,2753000,1302.44,11 to 15,Jan-23
MIDTOWN BAY,BEACH ROAD,Apartment,7,CCR,99 years,2018.0,New Sale,2875900,731.95,21 to 25,Jan-23
CAPE ROYALE,COVE WAY,Condominium,4,CCR,99 years,2008.0,Resale,5544900,2508.01,06 to 10,Jan-23
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,4229280,1442.38,21 to 25,Jan-23
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,4220000,1485.43,01 to 05,Jan-23
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 years,2018.0,New Sale,1767000,645.84,01 to 05,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,4581280,1280.92,21 to 25,Jan-23
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1190000,731.95,06 to 10,Jan-23
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,3082000,1711.48,11 to 15,Jan-23
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,3132000,1711.48,16 to 20,Jan-23
SCOTTS SQUARE,SCOTTS ROAD,Apartment,9,CCR,freehold,,Resale,2760000,947.23,11 to 15,Jan-23
THE GAZANIA,HOW SUN DRIVE,Condominium,19,OCR,freehold,,New Sale,1553000,699.66,01 to 05,Jan-23
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,1510000,1087.16,11 to 15,Jan-23
RESIDENCES @ JANSEN,JANSEN ROAD,Apartment,19,OCR,other,1876.0,Resale,1500000,1216.33,01 to 05,Jan-23
